Drug1,Drug2,Index1,Index2,Cell_Line,Cindex,Tissue,Tindex,Synergy
Cisplatin,Vorinostat,14,60,CAL.51,7,breast,2,1
Cisplatin,Vorinostat,14,60,CAMA.1,8,breast,2,0
Cisplatin,Vorinostat,14,60,COLO.824,15,breast,2,0
Cisplatin,Vorinostat,14,60,DU.4475,17,breast,2,1
Cisplatin,Vorinostat,14,60,EFM.19,18,breast,2,0
Cisplatin,Vorinostat,14,60,EVSA.T,19,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1143,21,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1187,22,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1395,23,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1419,24,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1428,25,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1806,26,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1937,27,breast,2,0
Cisplatin,Vorinostat,14,60,HCC1954,28,breast,2,0
Cisplatin,Vorinostat,14,60,HCC202,29,breast,2,0
Cisplatin,Vorinostat,14,60,HCC38,31,breast,2,0
Cisplatin,Vorinostat,14,60,HCC70,32,breast,2,0
Cisplatin,Vorinostat,14,60,Hs.578.T,35,breast,2,0
Cisplatin,Vorinostat,14,60,JIMT.1,42,breast,2,0
Cisplatin,Vorinostat,14,60,MCF7,54,breast,2,0
Cisplatin,Vorinostat,14,60,MDA.MB.157,55,breast,2,0
Cisplatin,Vorinostat,14,60,MDA.MB.231,56,breast,2,0
Cisplatin,Vorinostat,14,60,MDA.MB.361,57,breast,2,0
Cisplatin,Vorinostat,14,60,MDA.MB.415,58,breast,2,0
Cisplatin,Vorinostat,14,60,MDA.MB.436,59,breast,2,0
Cisplatin,Vorinostat,14,60,MDA.MB.453,60,breast,2,0
Cisplatin,Vorinostat,14,60,MDA.MB.468,61,breast,2,0
Cisplatin,Vorinostat,14,60,MFM.223,63,breast,2,0
Cisplatin,Vorinostat,14,60,OCUB.M,67,breast,2,0
Cisplatin,Vorinostat,14,60,T47D,90,breast,2,0
Cisplatin,Vorinostat,14,60,UACC.893,92,breast,2,0
Cisplatin,Nilotinib,14,36,AU565,2,breast,2,0
Cisplatin,Docetaxel,14,19,BT.549,3,breast,2,0
Cisplatin,Docetaxel,14,19,CAL.120,6,breast,2,0
Cisplatin,Docetaxel,14,19,CAL.51,7,breast,2,0
Cisplatin,Docetaxel,14,19,CAMA.1,8,breast,2,0
Cisplatin,Docetaxel,14,19,COLO.824,15,breast,2,0
Cisplatin,Docetaxel,14,19,DU.4475,17,breast,2,1
Cisplatin,Docetaxel,14,19,EFM.19,18,breast,2,0
Cisplatin,Docetaxel,14,19,EVSA.T,19,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1143,21,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1187,22,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1395,23,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1419,24,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1428,25,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1806,26,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1937,27,breast,2,0
Cisplatin,Docetaxel,14,19,HCC1954,28,breast,2,0
Cisplatin,Docetaxel,14,19,HCC202,29,breast,2,0
Cisplatin,Docetaxel,14,19,HCC38,31,breast,2,0
Cisplatin,Docetaxel,14,19,HCC70,32,breast,2,0
Cisplatin,Docetaxel,14,19,Hs.578.T,35,breast,2,0
Cisplatin,Docetaxel,14,19,JIMT.1,42,breast,2,0
Cisplatin,Docetaxel,14,19,MCF7,54,breast,2,0
Cisplatin,Docetaxel,14,19,MDA.MB.157,55,breast,2,0
Cisplatin,Docetaxel,14,19,MDA.MB.231,56,breast,2,0
Cisplatin,Docetaxel,14,19,MDA.MB.361,57,breast,2,0
Cisplatin,Docetaxel,14,19,MDA.MB.415,58,breast,2,0
Cisplatin,Docetaxel,14,19,MDA.MB.436,59,breast,2,0
Cisplatin,Docetaxel,14,19,MDA.MB.453,60,breast,2,0
Cisplatin,Docetaxel,14,19,MDA.MB.468,61,breast,2,0
Cisplatin,Docetaxel,14,19,MFM.223,63,breast,2,0
Cisplatin,Docetaxel,14,19,OCUB.M,67,breast,2,0
Cisplatin,Docetaxel,14,19,T47D,90,breast,2,0
Cisplatin,Docetaxel,14,19,UACC.893,92,breast,2,0
Cisplatin,Navitoclax,14,35,AU565,2,breast,2,0
Cisplatin,Navitoclax,14,35,BT.549,3,breast,2,0
Cisplatin,Navitoclax,14,35,CAL.120,6,breast,2,0
Cisplatin,Navitoclax,14,35,CAL.51,7,breast,2,1
Cisplatin,Navitoclax,14,35,CAMA.1,8,breast,2,0
Cisplatin,Navitoclax,14,35,COLO.824,15,breast,2,1
Cisplatin,Navitoclax,14,35,DU.4475,17,breast,2,1
Cisplatin,Navitoclax,14,35,EFM.19,18,breast,2,0
Cisplatin,Navitoclax,14,35,EVSA.T,19,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1143,21,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1187,22,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1395,23,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1419,24,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1428,25,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1806,26,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1937,27,breast,2,0
Cisplatin,Navitoclax,14,35,HCC1954,28,breast,2,0
Cisplatin,Navitoclax,14,35,HCC202,29,breast,2,0
Cisplatin,Navitoclax,14,35,HCC38,31,breast,2,1
Cisplatin,Navitoclax,14,35,HCC70,32,breast,2,1
Cisplatin,Navitoclax,14,35,Hs.578.T,35,breast,2,0
Cisplatin,Navitoclax,14,35,JIMT.1,42,breast,2,0
Cisplatin,Olaparib,14,38,HCC1187,22,breast,2,0
Cisplatin,Olaparib,14,38,HCC1395,23,breast,2,0
Cisplatin,Nilotinib,14,36,BT.549,3,breast,2,0
Cisplatin,Nilotinib,14,36,CAL.120,6,breast,2,0
Cisplatin,Nilotinib,14,36,CAL.51,7,breast,2,0
Cisplatin,Nilotinib,14,36,CAMA.1,8,breast,2,0
Cisplatin,Nilotinib,14,36,COLO.824,15,breast,2,0
Cisplatin,Nilotinib,14,36,DU.4475,17,breast,2,0
Cisplatin,Nilotinib,14,36,EFM.19,18,breast,2,0
Cisplatin,Nilotinib,14,36,EVSA.T,19,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1143,21,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1187,22,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1395,23,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1419,24,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1428,25,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1806,26,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1937,27,breast,2,0
Cisplatin,Nilotinib,14,36,HCC1954,28,breast,2,0
Cisplatin,Nilotinib,14,36,HCC38,31,breast,2,0
Cisplatin,Nilotinib,14,36,HCC70,32,breast,2,0
Cisplatin,Nilotinib,14,36,Hs.578.T,35,breast,2,0
Cisplatin,Nilotinib,14,36,JIMT.1,42,breast,2,0
Cisplatin,Nilotinib,14,36,MCF7,54,breast,2,0
Cisplatin,Nilotinib,14,36,MDA.MB.157,55,breast,2,0
Cisplatin,Nilotinib,14,36,MDA.MB.231,56,breast,2,0
Cisplatin,Nilotinib,14,36,MDA.MB.361,57,breast,2,0
Cisplatin,Nilotinib,14,36,MDA.MB.415,58,breast,2,0
Cisplatin,Nilotinib,14,36,MDA.MB.436,59,breast,2,0
Cisplatin,Nilotinib,14,36,MDA.MB.453,60,breast,2,0
Cisplatin,Nilotinib,14,36,MDA.MB.468,61,breast,2,0
Cisplatin,Nilotinib,14,36,MFM.223,63,breast,2,0
Cisplatin,Nilotinib,14,36,OCUB.M,67,breast,2,0
Cisplatin,Nilotinib,14,36,T47D,90,breast,2,0
Cisplatin,Nilotinib,14,36,UACC.893,92,breast,2,0
Cisplatin,Olaparib,14,38,AU565,2,breast,2,0
Cisplatin,Olaparib,14,38,BT.549,3,breast,2,0
Cisplatin,Olaparib,14,38,CAL.120,6,breast,2,0
Cisplatin,Olaparib,14,38,CAL.51,7,breast,2,0
Cisplatin,Olaparib,14,38,CAMA.1,8,breast,2,0
Cisplatin,Olaparib,14,38,COLO.824,15,breast,2,0
Cisplatin,Olaparib,14,38,DU.4475,17,breast,2,0
Cisplatin,Olaparib,14,38,EFM.19,18,breast,2,0
Cisplatin,Olaparib,14,38,HCC1419,24,breast,2,0
Cisplatin,Olaparib,14,38,EVSA.T,19,breast,2,0
Cisplatin,Olaparib,14,38,HCC1428,25,breast,2,0
Cisplatin,Olaparib,14,38,HCC1143,21,breast,2,0
Cisplatin,Olaparib,14,38,HCC1806,26,breast,2,0
Cisplatin,Olaparib,14,38,HCC1937,27,breast,2,0
Cisplatin,Olaparib,14,38,HCC1954,28,breast,2,0
Cisplatin,Olaparib,14,38,HCC38,31,breast,2,0
Cisplatin,Olaparib,14,38,HCC70,32,breast,2,0
Cisplatin,Olaparib,14,38,Hs.578.T,35,breast,2,0
Cisplatin,Olaparib,14,38,JIMT.1,42,breast,2,0
Cisplatin,Olaparib,14,38,MCF7,54,breast,2,0
Cisplatin,Olaparib,14,38,MDA.MB.157,55,breast,2,0
Cisplatin,Olaparib,14,38,MDA.MB.231,56,breast,2,0
Cisplatin,Olaparib,14,38,MDA.MB.361,57,breast,2,0
Cisplatin,Olaparib,14,38,MDA.MB.415,58,breast,2,0
Cisplatin,Olaparib,14,38,MDA.MB.436,59,breast,2,0
Cisplatin,Olaparib,14,38,MDA.MB.453,60,breast,2,0
Cisplatin,Olaparib,14,38,MDA.MB.468,61,breast,2,0
Cisplatin,Olaparib,14,38,MFM.223,63,breast,2,0
Cisplatin,Olaparib,14,38,OCUB.M,67,breast,2,0
Cisplatin,Olaparib,14,38,T47D,90,breast,2,0
Cisplatin,Olaparib,14,38,UACC.893,92,breast,2,0
Cisplatin,Axitinib,14,5,AU565,2,breast,2,0
Cisplatin,Axitinib,14,5,BT.549,3,breast,2,0
Cisplatin,Axitinib,14,5,CAL.120,6,breast,2,0
Cisplatin,Axitinib,14,5,CAL.51,7,breast,2,0
Cisplatin,Axitinib,14,5,CAMA.1,8,breast,2,0
Cisplatin,Axitinib,14,5,COLO.824,15,breast,2,0
Cisplatin,Axitinib,14,5,DU.4475,17,breast,2,0
Cisplatin,Axitinib,14,5,EFM.19,18,breast,2,0
Cisplatin,Axitinib,14,5,EVSA.T,19,breast,2,0
Cisplatin,Axitinib,14,5,HCC1143,21,breast,2,0
Cisplatin,Axitinib,14,5,HCC1187,22,breast,2,0
Cisplatin,Axitinib,14,5,HCC1395,23,breast,2,0
Cisplatin,Axitinib,14,5,HCC1419,24,breast,2,0
Cisplatin,Axitinib,14,5,HCC1428,25,breast,2,0
Cisplatin,Axitinib,14,5,HCC1806,26,breast,2,0
Cisplatin,Axitinib,14,5,HCC1937,27,breast,2,0
Cisplatin,Axitinib,14,5,HCC1954,28,breast,2,0
Cisplatin,Axitinib,14,5,HCC202,29,breast,2,0
Cisplatin,Axitinib,14,5,HCC38,31,breast,2,0
Cisplatin,Axitinib,14,5,HCC70,32,breast,2,0
Cisplatin,Axitinib,14,5,JIMT.1,42,breast,2,0
Cisplatin,Axitinib,14,5,MCF7,54,breast,2,0
Cisplatin,Axitinib,14,5,MDA.MB.157,55,breast,2,0
Cisplatin,Axitinib,14,5,MDA.MB.231,56,breast,2,0
Cisplatin,Axitinib,14,5,MDA.MB.361,57,breast,2,0
Cisplatin,Axitinib,14,5,MDA.MB.415,58,breast,2,0
Cisplatin,Axitinib,14,5,MDA.MB.436,59,breast,2,0
Cisplatin,Axitinib,14,5,MDA.MB.453,60,breast,2,0
Cisplatin,Axitinib,14,5,MDA.MB.468,61,breast,2,0
Cisplatin,Axitinib,14,5,MFM.223,63,breast,2,0
Cisplatin,Axitinib,14,5,OCUB.M,67,breast,2,0
Cisplatin,Axitinib,14,5,T47D,90,breast,2,0
Cisplatin,Axitinib,14,5,UACC.893,92,breast,2,1
Cisplatin,AZD7762,14,8,AU565,2,breast,2,1
Cisplatin,AZD7762,14,8,BT.549,3,breast,2,0
Cisplatin,AZD7762,14,8,CAL.120,6,breast,2,0
Cisplatin,AZD7762,14,8,CAL.51,7,breast,2,1
Cisplatin,AZD7762,14,8,CAMA.1,8,breast,2,0
Cisplatin,AZD7762,14,8,COLO.824,15,breast,2,0
Cisplatin,AZD7762,14,8,DU.4475,17,breast,2,1
Cisplatin,AZD7762,14,8,EFM.19,18,breast,2,0
Cisplatin,AZD7762,14,8,EVSA.T,19,breast,2,0
Cisplatin,AZD7762,14,8,HCC1143,21,breast,2,0
Cisplatin,AZD7762,14,8,HCC1187,22,breast,2,1
Cisplatin,AZD7762,14,8,HCC1395,23,breast,2,0
Cisplatin,AZD7762,14,8,HCC1419,24,breast,2,0
Cisplatin,AZD7762,14,8,HCC1428,25,breast,2,0
Cisplatin,AZD7762,14,8,HCC1806,26,breast,2,1
Cisplatin,AZD7762,14,8,HCC1937,27,breast,2,0
Cisplatin,AZD7762,14,8,HCC1954,28,breast,2,0
Cisplatin,AZD7762,14,8,HCC202,29,breast,2,0
Cisplatin,AZD7762,14,8,HCC38,31,breast,2,0
Cisplatin,AZD7762,14,8,HCC70,32,breast,2,0
Cisplatin,AZD7762,14,8,JIMT.1,42,breast,2,1
Cisplatin,AZD7762,14,8,MCF7,54,breast,2,0
Cisplatin,AZD7762,14,8,MDA.MB.157,55,breast,2,0
Cisplatin,AZD7762,14,8,MDA.MB.231,56,breast,2,0
Cisplatin,AZD7762,14,8,MDA.MB.361,57,breast,2,0
Cisplatin,AZD7762,14,8,MDA.MB.415,58,breast,2,0
Cisplatin,AZD7762,14,8,MDA.MB.436,59,breast,2,0
Cisplatin,AZD7762,14,8,MDA.MB.453,60,breast,2,1
Cisplatin,AZD7762,14,8,MDA.MB.468,61,breast,2,1
Cisplatin,AZD7762,14,8,MFM.223,63,breast,2,0
Cisplatin,AZD7762,14,8,OCUB.M,67,breast,2,1
Cisplatin,AZD7762,14,8,T47D,90,breast,2,0
Cisplatin,AZD7762,14,8,UACC.893,92,breast,2,0
Cisplatin,Afatinib,14,2,MDA.MB.157,55,breast,2,0
Cisplatin,SB216763,14,49,AU565,2,breast,2,0
Cisplatin,Afatinib,14,2,MDA.MB.231,56,breast,2,0
Cisplatin,Afatinib,14,2,MDA.MB.361,57,breast,2,0
Cisplatin,Afatinib,14,2,MDA.MB.415,58,breast,2,0
Cisplatin,Afatinib,14,2,MDA.MB.436,59,breast,2,0
Cisplatin,Afatinib,14,2,MDA.MB.453,60,breast,2,0
Cisplatin,Afatinib,14,2,MDA.MB.468,61,breast,2,0
Cisplatin,Afatinib,14,2,MFM.223,63,breast,2,0
Cisplatin,Afatinib,14,2,OCUB.M,67,breast,2,0
Cisplatin,Afatinib,14,2,T47D,90,breast,2,0
Cisplatin,Afatinib,14,2,UACC.893,92,breast,2,0
Cisplatin,NU7441,14,37,AU565,2,breast,2,0
Cisplatin,NU7441,14,37,BT.549,3,breast,2,0
Cisplatin,NU7441,14,37,CAL.120,6,breast,2,0
Cisplatin,NU7441,14,37,CAL.51,7,breast,2,0
Cisplatin,NU7441,14,37,CAMA.1,8,breast,2,0
Cisplatin,NU7441,14,37,COLO.824,15,breast,2,0
Cisplatin,NU7441,14,37,DU.4475,17,breast,2,0
Cisplatin,NU7441,14,37,EFM.19,18,breast,2,0
Cisplatin,NU7441,14,37,EVSA.T,19,breast,2,0
Cisplatin,NU7441,14,37,HCC1143,21,breast,2,0
Cisplatin,NU7441,14,37,HCC1187,22,breast,2,0
Cisplatin,NU7441,14,37,HCC1395,23,breast,2,0
Cisplatin,NU7441,14,37,HCC1419,24,breast,2,0
Cisplatin,NU7441,14,37,HCC1428,25,breast,2,0
Cisplatin,NU7441,14,37,HCC1806,26,breast,2,0
Cisplatin,NU7441,14,37,HCC1937,27,breast,2,0
Cisplatin,NU7441,14,37,HCC1954,28,breast,2,0
Cisplatin,NU7441,14,37,HCC38,31,breast,2,0
Cisplatin,NU7441,14,37,HCC70,32,breast,2,0
Cisplatin,NU7441,14,37,Hs.578.T,35,breast,2,0
Cisplatin,NU7441,14,37,JIMT.1,42,breast,2,0
Cisplatin,NU7441,14,37,MCF7,54,breast,2,0
Cisplatin,NU7441,14,37,MDA.MB.157,55,breast,2,0
Cisplatin,NU7441,14,37,MDA.MB.231,56,breast,2,0
Cisplatin,NU7441,14,37,MDA.MB.361,57,breast,2,0
Cisplatin,NU7441,14,37,MDA.MB.415,58,breast,2,0
Cisplatin,NU7441,14,37,MDA.MB.436,59,breast,2,0
Cisplatin,NU7441,14,37,MDA.MB.453,60,breast,2,0
Cisplatin,NU7441,14,37,MDA.MB.468,61,breast,2,0
Cisplatin,NU7441,14,37,MFM.223,63,breast,2,0
Cisplatin,NU7441,14,37,OCUB.M,67,breast,2,0
Cisplatin,NU7441,14,37,T47D,90,breast,2,0
Cisplatin,NU7441,14,37,UACC.893,92,breast,2,0
Cisplatin,Doramapimod,14,20,AU565,2,breast,2,0
Cisplatin,SB216763,14,49,BT.549,3,breast,2,0
Cisplatin,SB216763,14,49,CAL.120,6,breast,2,0
Cisplatin,SB216763,14,49,CAL.51,7,breast,2,0
Cisplatin,SB216763,14,49,CAMA.1,8,breast,2,0
Cisplatin,SB216763,14,49,COLO.824,15,breast,2,0
Cisplatin,SB216763,14,49,DU.4475,17,breast,2,0
Cisplatin,SB216763,14,49,EFM.19,18,breast,2,0
Cisplatin,SB216763,14,49,EVSA.T,19,breast,2,0
Cisplatin,SB216763,14,49,HCC1143,21,breast,2,0
Cisplatin,SB216763,14,49,HCC1187,22,breast,2,0
Cisplatin,SB216763,14,49,HCC1395,23,breast,2,0
Cisplatin,SB216763,14,49,HCC1419,24,breast,2,0
Cisplatin,SB216763,14,49,HCC1428,25,breast,2,0
Cisplatin,SB216763,14,49,HCC1806,26,breast,2,0
Cisplatin,SB216763,14,49,HCC1937,27,breast,2,0
Cisplatin,SB216763,14,49,HCC1954,28,breast,2,0
Cisplatin,SB216763,14,49,HCC38,31,breast,2,0
Cisplatin,SB216763,14,49,HCC70,32,breast,2,0
Cisplatin,SB216763,14,49,Hs.578.T,35,breast,2,0
Cisplatin,SB216763,14,49,JIMT.1,42,breast,2,0
Cisplatin,SB216763,14,49,MCF7,54,breast,2,0
Cisplatin,SB216763,14,49,MDA.MB.157,55,breast,2,0
Cisplatin,SB216763,14,49,MDA.MB.231,56,breast,2,0
Cisplatin,SB216763,14,49,MDA.MB.361,57,breast,2,0
Cisplatin,SB216763,14,49,MDA.MB.415,58,breast,2,0
Cisplatin,SB216763,14,49,MDA.MB.436,59,breast,2,0
Cisplatin,SB216763,14,49,MDA.MB.453,60,breast,2,0
Cisplatin,SB216763,14,49,MDA.MB.468,61,breast,2,0
Cisplatin,SB216763,14,49,MFM.223,63,breast,2,0
Cisplatin,SB216763,14,49,OCUB.M,67,breast,2,0
Cisplatin,SB216763,14,49,T47D,90,breast,2,0
Cisplatin,SB216763,14,49,UACC.893,92,breast,2,0
Cisplatin,KU-55933,14,28,AU565,2,breast,2,0
Cisplatin,Doramapimod,14,20,BT.549,3,breast,2,0
Cisplatin,Doramapimod,14,20,CAL.120,6,breast,2,0
Cisplatin,Doramapimod,14,20,CAL.51,7,breast,2,0
Cisplatin,Doramapimod,14,20,CAMA.1,8,breast,2,0
Cisplatin,Doramapimod,14,20,COLO.824,15,breast,2,0
Cisplatin,Doramapimod,14,20,DU.4475,17,breast,2,0
Cisplatin,Doramapimod,14,20,EFM.19,18,breast,2,0
Cisplatin,Doramapimod,14,20,EVSA.T,19,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1143,21,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1187,22,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1395,23,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1419,24,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1428,25,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1806,26,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1937,27,breast,2,0
Cisplatin,Doramapimod,14,20,HCC1954,28,breast,2,0
Cisplatin,Doramapimod,14,20,HCC38,31,breast,2,0
Cisplatin,Doramapimod,14,20,HCC70,32,breast,2,0
Cisplatin,Doramapimod,14,20,Hs.578.T,35,breast,2,0
Cisplatin,Doramapimod,14,20,JIMT.1,42,breast,2,0
Cisplatin,Doramapimod,14,20,MCF7,54,breast,2,0
Cisplatin,Doramapimod,14,20,MDA.MB.157,55,breast,2,0
Cisplatin,Doramapimod,14,20,MDA.MB.231,56,breast,2,1
Cisplatin,Doramapimod,14,20,MDA.MB.361,57,breast,2,0
Cisplatin,Doramapimod,14,20,MDA.MB.415,58,breast,2,0
Cisplatin,Doramapimod,14,20,MDA.MB.436,59,breast,2,0
Cisplatin,Doramapimod,14,20,MDA.MB.453,60,breast,2,0
Cisplatin,Doramapimod,14,20,MDA.MB.468,61,breast,2,0
Cisplatin,Doramapimod,14,20,MFM.223,63,breast,2,0
Cisplatin,Doramapimod,14,20,OCUB.M,67,breast,2,0
Cisplatin,Doramapimod,14,20,T47D,90,breast,2,0
Cisplatin,Doramapimod,14,20,UACC.893,92,breast,2,0
Cisplatin,Wee1 Inhibitor,14,61,AU565,2,breast,2,0
Cisplatin,KU-55933,14,28,BT.549,3,breast,2,0
Cisplatin,KU-55933,14,28,CAL.120,6,breast,2,0
Cisplatin,KU-55933,14,28,CAL.51,7,breast,2,0
Cisplatin,KU-55933,14,28,CAMA.1,8,breast,2,0
Cisplatin,KU-55933,14,28,COLO.824,15,breast,2,0
Cisplatin,KU-55933,14,28,DU.4475,17,breast,2,1
Cisplatin,KU-55933,14,28,EFM.19,18,breast,2,0
Cisplatin,KU-55933,14,28,EVSA.T,19,breast,2,0
Cisplatin,KU-55933,14,28,HCC1143,21,breast,2,0
Cisplatin,KU-55933,14,28,HCC1187,22,breast,2,0
Cisplatin,KU-55933,14,28,HCC1395,23,breast,2,0
Cisplatin,KU-55933,14,28,HCC1419,24,breast,2,0
Cisplatin,KU-55933,14,28,HCC1428,25,breast,2,0
Cisplatin,KU-55933,14,28,HCC1806,26,breast,2,0
Cisplatin,KU-55933,14,28,HCC1937,27,breast,2,0
Cisplatin,KU-55933,14,28,HCC1954,28,breast,2,0
Cisplatin,KU-55933,14,28,HCC38,31,breast,2,0
Cisplatin,KU-55933,14,28,HCC70,32,breast,2,0
Cisplatin,KU-55933,14,28,Hs.578.T,35,breast,2,0
Cisplatin,KU-55933,14,28,JIMT.1,42,breast,2,0
Cisplatin,KU-55933,14,28,MCF7,54,breast,2,0
Cisplatin,KU-55933,14,28,MDA.MB.157,55,breast,2,0
Cisplatin,KU-55933,14,28,MDA.MB.231,56,breast,2,0
Cisplatin,KU-55933,14,28,MDA.MB.361,57,breast,2,0
Cisplatin,KU-55933,14,28,MDA.MB.415,58,breast,2,0
Cisplatin,KU-55933,14,28,MDA.MB.436,59,breast,2,0
Cisplatin,KU-55933,14,28,MDA.MB.453,60,breast,2,0
Cisplatin,KU-55933,14,28,MDA.MB.468,61,breast,2,0
Cisplatin,KU-55933,14,28,MFM.223,63,breast,2,0
Cisplatin,KU-55933,14,28,OCUB.M,67,breast,2,0
Cisplatin,KU-55933,14,28,T47D,90,breast,2,0
Cisplatin,KU-55933,14,28,UACC.893,92,breast,2,0
Cisplatin,Afatinib,14,2,AU565,2,breast,2,0
Cisplatin,Afatinib,14,2,BT.549,3,breast,2,0
Cisplatin,Afatinib,14,2,CAL.120,6,breast,2,0
Cisplatin,Afatinib,14,2,CAL.51,7,breast,2,1
Cisplatin,Afatinib,14,2,CAMA.1,8,breast,2,0
Cisplatin,Afatinib,14,2,COLO.824,15,breast,2,0
Cisplatin,Afatinib,14,2,DU.4475,17,breast,2,0
Cisplatin,Afatinib,14,2,EFM.19,18,breast,2,0
Cisplatin,Afatinib,14,2,EVSA.T,19,breast,2,0
Cisplatin,Afatinib,14,2,HCC1143,21,breast,2,0
Cisplatin,Afatinib,14,2,HCC1187,22,breast,2,0
