Drug1,Drug2,Index1,Index2,Cell_Line,Cindex,Tissue,Tindex,Synergy
doxorubicin,temozolomide,11,31,MDA.MB.436,11,breast,5,-24.21696141
doxorubicin,Vorinostat,11,35,MDA.MB.436,11,breast,5,2.634543657
Erlotinib,Veliparib,12,2,MDA.MB.436,11,breast,5,1.516747774
Erlotinib,915019-65-7,12,4,MDA.MB.436,11,breast,5,9.030560094
Erlotinib,Bortezomib,12,5,MDA.MB.436,11,breast,5,-5.357906513
Erlotinib,Dasatinib,12,8,MDA.MB.436,11,breast,5,3.597451699
Erlotinib,Dinaciclib,12,10,MDA.MB.436,11,breast,5,-4.096680118
Erlotinib,geldanamycin,12,14,MDA.MB.436,11,breast,5,3.776985072
Erlotinib,Deforolimus,12,24,MDA.MB.436,11,breast,5,7.505341542
Erlotinib,891494-63-6,12,36,MDA.MB.436,11,breast,5,-1.81144537
Erlotinib,Eloxatin (TN),12,25,MDA.MB.436,11,breast,5,-8.449508552
Erlotinib,391210-10-9,12,27,MDA.MB.436,11,breast,5,2.296967155
Erlotinib,7-Ethyl-10-hydroxycamptothecin,12,28,MDA.MB.436,11,breast,5,7.228323311
Erlotinib,Sorafenib,12,29,MDA.MB.436,11,breast,5,-4.144685583
Erlotinib,topotecan,12,32,MDA.MB.436,11,breast,5,4.22056062
etoposide,Veliparib,13,2,MDA.MB.436,11,breast,5,4.562879297
etoposide,MK-1775,13,3,MDA.MB.436,11,breast,5,7.696316164
etoposide,915019-65-7,13,4,MDA.MB.436,11,breast,5,7.252770121
etoposide,Bortezomib,13,5,MDA.MB.436,11,breast,5,-1.805218828
etoposide,Dasatinib,13,8,MDA.MB.436,11,breast,5,0.376061867
etoposide,Dinaciclib,13,10,MDA.MB.436,11,breast,5,-2.463558661
etoposide,Erlotinib,13,12,MDA.MB.436,11,breast,5,6.540797955
etoposide,geldanamycin,13,14,MDA.MB.436,11,breast,5,3.832284672
etoposide,Lapatinib,13,17,MDA.MB.436,11,breast,5,2.941126476
etoposide,MK-2206,13,21,MDA.MB.436,11,breast,5,9.412526778
etoposide,Niraparib,13,22,MDA.MB.436,11,breast,5,4.989294297
etoposide,MK-5108,13,23,MDA.MB.436,11,breast,5,-1.107589387
etoposide,Deforolimus,13,24,MDA.MB.436,11,breast,5,8.702528301
etoposide,891494-63-6,13,36,MDA.MB.436,11,breast,5,6.037899231
etoposide,391210-10-9,13,27,MDA.MB.436,11,breast,5,3.682761551
etoposide,Sorafenib,13,29,MDA.MB.436,11,breast,5,-6.555148222
etoposide,Sunitinib,13,30,MDA.MB.436,11,breast,5,-0.053147515
etoposide,temozolomide,13,31,MDA.MB.436,11,breast,5,-13.65208258
etoposide,Vorinostat,13,35,MDA.MB.436,11,breast,5,3.294172983
geldanamycin,915019-65-7,14,4,MDA.MB.436,11,breast,5,5.115663696
geldanamycin,Dinaciclib,14,10,MDA.MB.436,11,breast,5,1.116879915
geldanamycin,891494-63-6,14,36,MDA.MB.436,11,breast,5,1.836088213
geldanamycin,Eloxatin (TN),14,25,MDA.MB.436,11,breast,5,-0.661656475
geldanamycin,7-Ethyl-10-hydroxycamptothecin,14,28,MDA.MB.436,11,breast,5,2.053382815
geldanamycin,Sorafenib,14,29,MDA.MB.436,11,breast,5,-11.86417746
geldanamycin,topotecan,14,32,MDA.MB.436,11,breast,5,-2.69921706
gemcitabine,Veliparib,15,2,MDA.MB.436,11,breast,5,-3.583097081
gemcitabine,MK-1775,15,3,MDA.MB.436,11,breast,5,17.63925667
gemcitabine,915019-65-7,15,4,MDA.MB.436,11,breast,5,10.83640029
gemcitabine,Bortezomib,15,5,MDA.MB.436,11,breast,5,-1.361652733
gemcitabine,Dasatinib,15,8,MDA.MB.436,11,breast,5,0.515770061
gemcitabine,Dinaciclib,15,10,MDA.MB.436,11,breast,5,-3.986912564
gemcitabine,Erlotinib,15,12,MDA.MB.436,11,breast,5,4.194673173
gemcitabine,geldanamycin,15,14,MDA.MB.436,11,breast,5,-0.280679158
gemcitabine,Lapatinib,15,17,MDA.MB.436,11,breast,5,-6.849088899
gemcitabine,MK-2206,15,21,MDA.MB.436,11,breast,5,4.733810607
gemcitabine,Niraparib,15,22,MDA.MB.436,11,breast,5,-0.466280666
gemcitabine,MK-5108,15,23,MDA.MB.436,11,breast,5,-6.497490373
gemcitabine,Deforolimus,15,24,MDA.MB.436,11,breast,5,5.747128506
gemcitabine,891494-63-6,15,36,MDA.MB.436,11,breast,5,18.9514856
gemcitabine,391210-10-9,15,27,MDA.MB.436,11,breast,5,-3.147963409
gemcitabine,Sorafenib,15,29,MDA.MB.436,11,breast,5,-5.213154379
gemcitabine,Sunitinib,15,30,MDA.MB.436,11,breast,5,3.136442768
gemcitabine,temozolomide,15,31,MDA.MB.436,11,breast,5,-16.12673601
L-778123 free base,Veliparib,16,2,MDA.MB.436,11,breast,5,2.281808438
L-778123 free base,MK-1775,16,3,MDA.MB.436,11,breast,5,1.688097752
L-778123 free base,915019-65-7,16,4,MDA.MB.436,11,breast,5,12.4221944
L-778123 free base,Bortezomib,16,5,MDA.MB.436,11,breast,5,-6.291966491
L-778123 free base,Dasatinib,16,8,MDA.MB.436,11,breast,5,9.58843482
L-778123 free base,Dinaciclib,16,10,MDA.MB.436,11,breast,5,-1.328873654
L-778123 free base,Erlotinib,16,12,MDA.MB.436,11,breast,5,3.202864378
L-778123 free base,etoposide,16,13,MDA.MB.436,11,breast,5,3.02723206
L-778123 free base,geldanamycin,16,14,MDA.MB.436,11,breast,5,4.729769605
L-778123 free base,gemcitabine,16,15,MDA.MB.436,11,breast,5,2.669406637
L-778123 free base,Lapatinib,16,17,MDA.MB.436,11,breast,5,4.642467723
L-778123 free base,MK-2206,16,21,MDA.MB.436,11,breast,5,4.235748256
L-778123 free base,Niraparib,16,22,MDA.MB.436,11,breast,5,8.711901743
L-778123 free base,MK-5108,16,23,MDA.MB.436,11,breast,5,4.787046452
L-778123 free base,Deforolimus,16,24,MDA.MB.436,11,breast,5,15.9161464
L-778123 free base,891494-63-6,16,36,MDA.MB.436,11,breast,5,2.456561156
L-778123 free base,Eloxatin (TN),16,25,MDA.MB.436,11,breast,5,-3.271608379
L-778123 free base,391210-10-9,16,27,MDA.MB.436,11,breast,5,6.781814452
L-778123 free base,7-Ethyl-10-hydroxycamptothecin,16,28,MDA.MB.436,11,breast,5,4.281782404
L-778123 free base,Sorafenib,16,29,MDA.MB.436,11,breast,5,-14.54980509
L-778123 free base,Sunitinib,16,30,MDA.MB.436,11,breast,5,5.258149806
L-778123 free base,temozolomide,16,31,MDA.MB.436,11,breast,5,-6.307597168
L-778123 free base,topotecan,16,32,MDA.MB.436,11,breast,5,2.031043517
L-778123 free base,vinorelbine,16,34,MDA.MB.436,11,breast,5,0.642838836
L-778123 free base,Vorinostat,16,35,MDA.MB.436,11,breast,5,2.575833789
Lapatinib,Veliparib,17,2,MDA.MB.436,11,breast,5,1.431699054
Lapatinib,915019-65-7,17,4,MDA.MB.436,11,breast,5,3.32191114
Lapatinib,Bortezomib,17,5,MDA.MB.436,11,breast,5,-5.271975251
Lapatinib,Dasatinib,17,8,MDA.MB.436,11,breast,5,3.110499643
Lapatinib,Dinaciclib,17,10,MDA.MB.436,11,breast,5,-1.662085405
Lapatinib,Erlotinib,17,12,MDA.MB.436,11,breast,5,-4.786538605
Lapatinib,geldanamycin,17,14,MDA.MB.436,11,breast,5,4.410562739
Lapatinib,MK-2206,17,21,MDA.MB.436,11,breast,5,2.108111071
Lapatinib,Niraparib,17,22,MDA.MB.436,11,breast,5,1.783230458
Lapatinib,MK-5108,17,23,MDA.MB.436,11,breast,5,1.213299151
Lapatinib,Deforolimus,17,24,MDA.MB.436,11,breast,5,2.34112266
Lapatinib,891494-63-6,17,36,MDA.MB.436,11,breast,5,-1.736166723
Lapatinib,Eloxatin (TN),17,25,MDA.MB.436,11,breast,5,-11.06767119
Lapatinib,391210-10-9,17,27,MDA.MB.436,11,breast,5,5.727728227
Lapatinib,7-Ethyl-10-hydroxycamptothecin,17,28,MDA.MB.436,11,breast,5,5.133868077
Lapatinib,Sorafenib,17,29,MDA.MB.436,11,breast,5,-8.393586344
Lapatinib,topotecan,17,32,MDA.MB.436,11,breast,5,-2.922561785
metformin,Veliparib,18,2,MDA.MB.436,11,breast,5,-49.96960723
metformin,MK-1775,18,3,MDA.MB.436,11,breast,5,-76.16657782
metformin,915019-65-7,18,4,MDA.MB.436,11,breast,5,-30.9966018
metformin,Bortezomib,18,5,MDA.MB.436,11,breast,5,-51.33553732
metformin,Dasatinib,18,8,MDA.MB.436,11,breast,5,1.980604813
metformin,Dinaciclib,18,10,MDA.MB.436,11,breast,5,-38.229995
metformin,Erlotinib,18,12,MDA.MB.436,11,breast,5,-42.24836358
metformin,geldanamycin,18,14,MDA.MB.436,11,breast,5,-31.47592983
metformin,L-778123 free base,18,16,MDA.MB.436,11,breast,5,-19.44084112
metformin,Lapatinib,18,17,MDA.MB.436,11,breast,5,-14.63117109
metformin,MK-2206,18,21,MDA.MB.436,11,breast,5,-29.71710626
metformin,Niraparib,18,22,MDA.MB.436,11,breast,5,-17.94942886
metformin,MK-5108,18,23,MDA.MB.436,11,breast,5,-19.87079117
metformin,Deforolimus,18,24,MDA.MB.436,11,breast,5,-10.39563995
metformin,891494-63-6,18,36,MDA.MB.436,11,breast,5,-24.74924291
metformin,391210-10-9,18,27,MDA.MB.436,11,breast,5,-7.107499006
metformin,Sorafenib,18,29,MDA.MB.436,11,breast,5,-52.73360206
metformin,Sunitinib,18,30,MDA.MB.436,11,breast,5,-58.44911383
metformin,temozolomide,18,31,MDA.MB.436,11,breast,5,-3.461016629
metformin,Vorinostat,18,35,MDA.MB.436,11,breast,5,-42.65792694
methotrexate,Veliparib,19,2,MDA.MB.436,11,breast,5,-2.568706105
methotrexate,MK-1775,19,3,MDA.MB.436,11,breast,5,-4.604981084
methotrexate,915019-65-7,19,4,MDA.MB.436,11,breast,5,-7.294304634
methotrexate,Bortezomib,19,5,MDA.MB.436,11,breast,5,-5.20083422
methotrexate,Dasatinib,19,8,MDA.MB.436,11,breast,5,-23.93233688
methotrexate,Dinaciclib,19,10,MDA.MB.436,11,breast,5,-0.197903284
methotrexate,Erlotinib,19,12,MDA.MB.436,11,breast,5,1.693649383
methotrexate,geldanamycin,19,14,MDA.MB.436,11,breast,5,-8.165245482
methotrexate,L-778123 free base,19,16,MDA.MB.436,11,breast,5,-13.70807595
methotrexate,Lapatinib,19,17,MDA.MB.436,11,breast,5,-10.19497697
methotrexate,MK-2206,19,21,MDA.MB.436,11,breast,5,-4.468005088
methotrexate,Niraparib,19,22,MDA.MB.436,11,breast,5,-5.874923019
methotrexate,MK-5108,19,23,MDA.MB.436,11,breast,5,-19.51116022
methotrexate,Deforolimus,19,24,MDA.MB.436,11,breast,5,-7.339877452
methotrexate,891494-63-6,19,36,MDA.MB.436,11,breast,5,-3.600864685
methotrexate,391210-10-9,19,27,MDA.MB.436,11,breast,5,-11.65182047
methotrexate,Sorafenib,19,29,MDA.MB.436,11,breast,5,-3.510648736
methotrexate,Sunitinib,19,30,MDA.MB.436,11,breast,5,-10.87239498
methotrexate,temozolomide,19,31,MDA.MB.436,11,breast,5,-32.02494732
methotrexate,Vorinostat,19,35,MDA.MB.436,11,breast,5,-9.724041037
mitomycin C,Veliparib,20,2,MDA.MB.436,11,breast,5,-0.536645708
mitomycin C,MK-1775,20,3,MDA.MB.436,11,breast,5,6.695313485
mitomycin C,915019-65-7,20,4,MDA.MB.436,11,breast,5,8.752049388
mitomycin C,Bortezomib,20,5,MDA.MB.436,11,breast,5,-3.059751215
mitomycin C,Dasatinib,20,8,MDA.MB.436,11,breast,5,-5.136965244
mitomycin C,Dinaciclib,20,10,MDA.MB.436,11,breast,5,-0.87185886
mitomycin C,Erlotinib,20,12,MDA.MB.436,11,breast,5,-11.56153117
mitomycin C,geldanamycin,20,14,MDA.MB.436,11,breast,5,0.858062462
mitomycin C,L-778123 free base,20,16,MDA.MB.436,11,breast,5,-10.83347042
mitomycin C,Lapatinib,20,17,MDA.MB.436,11,breast,5,-9.666656548
mitomycin C,MK-2206,20,21,MDA.MB.436,11,breast,5,3.410728118
mitomycin C,Niraparib,20,22,MDA.MB.436,11,breast,5,0.441268115
mitomycin C,MK-5108,20,23,MDA.MB.436,11,breast,5,-11.67160925
mitomycin C,Deforolimus,20,24,MDA.MB.436,11,breast,5,6.880986392
mitomycin C,891494-63-6,20,36,MDA.MB.436,11,breast,5,11.00349485
mitomycin C,391210-10-9,20,27,MDA.MB.436,11,breast,5,-1.630092953
mitomycin C,Sorafenib,20,29,MDA.MB.436,11,breast,5,-30.8707743
mitomycin C,Sunitinib,20,30,MDA.MB.436,11,breast,5,-0.132455969
mitomycin C,temozolomide,20,31,MDA.MB.436,11,breast,5,-13.17077893
mitomycin C,Vorinostat,20,35,MDA.MB.436,11,breast,5,4.016492967
MK-2206,Veliparib,21,2,MDA.MB.436,11,breast,5,3.158607977
MK-2206,915019-65-7,21,4,MDA.MB.436,11,breast,5,9.010530878
MK-2206,Bortezomib,21,5,MDA.MB.436,11,breast,5,-7.722733211
MK-2206,Dasatinib,21,8,MDA.MB.436,11,breast,5,11.04695159
MK-2206,Dinaciclib,21,10,MDA.MB.436,11,breast,5,0.686347581
MK-2206,Erlotinib,21,12,MDA.MB.436,11,breast,5,5.186495542
MK-2206,geldanamycin,21,14,MDA.MB.436,11,breast,5,3.021670261
MK-2206,Deforolimus,21,24,MDA.MB.436,11,breast,5,9.446158386
MK-2206,891494-63-6,21,36,MDA.MB.436,11,breast,5,1.815501765
MK-2206,Eloxatin (TN),21,25,MDA.MB.436,11,breast,5,-7.090475129
MK-2206,391210-10-9,21,27,MDA.MB.436,11,breast,5,1.954821185
MK-2206,7-Ethyl-10-hydroxycamptothecin,21,28,MDA.MB.436,11,breast,5,5.940307203
MK-2206,Sorafenib,21,29,MDA.MB.436,11,breast,5,-4.201675068
MK-2206,topotecan,21,32,MDA.MB.436,11,breast,5,-0.192499297
Niraparib,Veliparib,22,2,MDA.MB.436,11,breast,5,-3.362409656
Niraparib,915019-65-7,22,4,MDA.MB.436,11,breast,5,6.487751325
Niraparib,Bortezomib,22,5,MDA.MB.436,11,breast,5,0.195800107
Niraparib,Dasatinib,22,8,MDA.MB.436,11,breast,5,6.249298486
Niraparib,Dinaciclib,22,10,MDA.MB.436,11,breast,5,-3.914205357
Niraparib,Erlotinib,22,12,MDA.MB.436,11,breast,5,3.709354887
Niraparib,geldanamycin,22,14,MDA.MB.436,11,breast,5,3.055349352
Niraparib,MK-2206,22,21,MDA.MB.436,11,breast,5,5.669357923
Niraparib,Deforolimus,22,24,MDA.MB.436,11,breast,5,6.242422802
Niraparib,891494-63-6,22,36,MDA.MB.436,11,breast,5,7.342831749
Niraparib,Eloxatin (TN),22,25,MDA.MB.436,11,breast,5,-3.865074174
Niraparib,391210-10-9,22,27,MDA.MB.436,11,breast,5,6.24714615
Niraparib,7-Ethyl-10-hydroxycamptothecin,22,28,MDA.MB.436,11,breast,5,4.904214897
